username,author_id,video_desc,video_id,upload_time,duration,was_duet,hashtags,music_artist,music_title,is_verified,author_followers,author_likes,author_hearts,author_video_count,saves,likes,shares,plays,comments
Constanza Silva 🦋,7214995803323646982,Próbandome las poleras de mi hijo de 4 años 👕😱 #mamajoven #chile #conyyerkan #mamaadolecente #maternidad #vlog ,7338923223389703429,1708726224,184,{'duetFromId': '0'},"['mamajoven', 'chile', 'conyyerkan', 'mamaadolecente', 'maternidad', 'vlog']",Tsuyoshi_san,Vlog Video work Fashionable BGM(847726),False,3100000,3072,123400000,264,53200,1700000,2970,16500000,3912
julifrutal,6796751009609090053,Replying to @Reessi.0. @Nieves wilder es el artista 🖤 #fypシ゚viral #trending #vlog #unboxing ,7341534456274210053,1709334199,32,{'duetFromId': '0'},"['', '', 'fypシ゚viral', 'trending', 'vlog', 'unboxing']",Cannons,Fire for You (Sped Up),False,153300,3446,7300000,164,113800,1700000,15300,24300000,21400
Benni,7018272039350420486,"Having a cold right now so sadly no gym content, i’m sorry guys🙏❤️ #Vlog #DayInMyLife #fyp",7119554480508554502,1657650455,24,{'duetFromId': '0'},"['vlog', 'dayinmylife', 'fyp']",DJ LILLI,original sound,False,239600,548,3900000,150,128000,1700000,4243,7800000,4988
paulguhlke,6780029147344634886,saturday mood 💫 #fyp #VLOG #diml,7043354837328678149,1639908843,16,{'duetFromId': '0'},"['fyp', 'vlog', 'diml']",DJ LILLI,rolling in the deep x another love DJ Lilli,False,319700,5899,6800000,498,82700,1700000,7014,7800000,4495
Constanza Silva 🦋,7214995803323646982,Tenía que unirme al trend JAJAJ #mamaadolecente #mamajoven #chile #conyyerkan #maternidad #vlog ,7341165493413235974,1709248291,37,{'duetFromId': '0'},"['mamaadolecente', 'mamajoven', 'chile', 'conyyerkan', 'maternidad', 'vlog']",Constanza Silva 🦋,original sound,False,3100000,3072,123400000,264,50700,1700000,1659,11900000,5095
tjhomesmart,7033298847409882158,Which home gidget you like the most? Follow me to see more vlogging videos just like this.#vlog #lifehack #fpy #foryou #trending #ideas,7039540788837076271,1639020814,87,{'duetFromId': '0'},"['vlog', 'lifehack', 'fpy', 'foryou', 'trending', 'ideas']",tjhomesmart,original sound,False,1100000,833,16700000,730,49600,1700000,26000,19600000,17500
Fionaberginx,6768197856420758533,My wee woman 😂✨💝 #fyp #foryou #foryoupage #ireland #irish #woman #women #comedy #vlog #chats #elderly #care #home #animals #viral #video #tiktok ,7202716644043492613,1677013155,57,{'duetFromId': '0'},"['fyp', 'foryou', 'foryoupage', 'ireland', 'irish', 'woman', 'women', 'comedy', 'vlog', 'chats', 'elderly', 'care', 'home', 'animals', 'viral', 'video', 'tiktok']",Adrian Berenguer,Little Things,False,477200,54700,15300000,827,119200,1700000,30200,8200000,5308
GetBurly,6615666469807128582,He dont need no new friends lol. Not even Ma’!😂. #STUDler #immediatelyno #vlog ,7204118227939495210,1677339501,15,{'duetFromId': '0'},"['studler', 'immediatelyno', 'vlog']",GetBurly,original sound,False,644900,65000,36600000,814,36700,1600000,86600,15200000,12300
Jennifer Christie,26924613,rayain natal bareng keluarga mas bule di rumahnyaa!! cakeppp bgtt ya rumahnya😍😍🥹❤️ #vlog #travelvlog #couplevlog #coupletravel #christmasinlondon #winterwonderland #pacarbule #mixedcouple #funnycouple #keluargabule #christmas ,7316501103594523910,1703505668,84,{'duetFromId': '0'},"['vlog', 'travelvlog', 'couplevlog', 'coupletravel', 'christmasinlondon', 'winterwonderland', 'pacarbule', 'mixedcouple', 'funnycouple', 'keluargabule', 'christmas']",Jennifer Christie,original sound - Jennifer Christie,False,1900000,13200,84500000,600,70000,1600000,2870,17300000,3484
IG: @mcdwooo.offcl,6766808936500642817,VLOG w/ @jubangg - YOUTUBE: Ralph Angelo Guzman #fyp #foryou #vlog,6973116710647811330,1623555255,59,{'duetFromId': '0'},"['', 'fyp', 'foryou', 'vlog']",Angela Ken,Ako Naman Muna Unfinished,True,7400000,98300,201800000,1302,16600,1600000,4517,11800000,5709
