username,author_id,video_desc,video_id,upload_time,duration,was_duet,hashtags,music_artist,music_title,is_verified,author_followers,author_likes,author_hearts,author_video_count,saves,likes,shares,plays,comments
@APRENDOINGLESCANTANDO6191,6570677628843393030,Aprende facil la pronunciacion de Space Song #aprendoinglescantando #ingles #english #brazil #mexico #inglespara mexicanos #inglesparabrasileiros🇧🇷 #inglesfacil #pronunciaciondecanciones #spacesong # #salseoentiktok #Depórtesentiktok #HalloweenEnTikTok #drill #Pokemon #valorant #OneThingAboutMe #saludmental #CineEnTikTok #Rap #Fitness #70ssiff #Padel #eurobasket2022 #GamingEnTikTok #GamingWorld #BookTok #cover #WEURO2022 #F1 #ciclismo #salseoentiktok #Festival #Legendarias #HistoriaDelFutbolFemenino #lightyear #OrgulloEnTikTok #Verano #Minecraft #Flamenco #MayoEnUnaCancion #PeliculasClasicas #RolandGarros #Motor #Cannes2022 #LetsPlay #Eurovision2022 #ComediaEnEspañol #TikTokFootballAcademy #MusicaEnTikTok #TheWorldNeeds #Tenis #CosasDeMadres #AdivinaLaPelicula #Documental #AbrilEnUnaCancion #copadelrey #Rotoscopio #CineEspañol #MyTastelnMusiclsYourFace #SemanaSanta #PaperWings #CircoDeLasMentiras #SeriesTurcas #Mecano #Ramadan2022 #VisibilidadTransgenero #milipilis #Oscars #MarzoEnUnaCancion #Kirby #bringmetolife #bring_me_to_life #bringmetolifeevanescence #bringmetolifechallenge #bringmetolifecover #bringtomelife #bringmetolife #evanescence #evanescencechallenge #evanescencemusic #evanescencecover #evanescencefan #evanescences #evanescencelive #evanescencefans #aprendoinglescantando #pronunciacioncancioningles #ingles #fyp #foryou #createforyou #createforcause ,7167086639766899974,1668717399,15,{'duetFromId': '0'},"['aprendoinglescantando', 'ingles', 'english', 'brazil', 'mexico', 'inglespara', 'inglesparabrasileiros🇧🇷', 'inglesfacil', 'pronunciaciondecanciones', 'spacesong', 'salseoentiktok', 'depórtesentiktok', 'halloweenentiktok', 'drill', 'pokemon', 'valorant', 'onethingaboutme', 'saludmental', 'cineentiktok', 'rap', 'fitness', '70ssiff', 'padel', 'eurobasket2022', 'gamingentiktok', 'gamingworld', 'booktok', 'cover', 'weuro2022', 'f1', 'ciclismo', 'salseoentiktok', 'festival', 'legendarias', 'historiadelfutbolfemenino', 'lightyear', 'orgulloentiktok', 'verano', 'minecraft', 'flamenco', 'mayoenunacancion', 'peliculasclasicas', 'rolandgarros', 'motor', 'cannes2022', 'letsplay', 'eurovision2022', 'comediaenespañol', 'tiktokfootballacademy', 'musicaentiktok', 'theworldneeds', 'tenis', 'cosasdemadres', 'adivinalapelicula', 'documental', 'abrilenunacancion', 'copadelrey', 'rotoscopio', 'cineespañol', 'mytastelnmusiclsyourface', 'semanasanta', 'paperwings', 'circodelasmentiras', 'seriesturcas', 'mecano', 'ramadan2022', 'visibilidadtransgenero', 'milipilis', 'oscars', 'marzoenunacancion', 'kirby', 'bringmetolife', 'bring_me_to_life', 'bringmetolifeevanescence', 'bringmetolifechallenge', 'bringmetolifecover', 'bringtomelife', 'bringmetolife', 'evanescence', 'evanescencechallenge', 'evanescencemusic', 'evanescencecover', 'evanescencefan', 'evanescences', 'evanescencelive', 'evanescencefans', 'aprendoinglescantando', 'pronunciacioncancioningles', 'ingles', 'fyp', 'foryou', 'createforyou', 'createforcause']",‍,mikasaaaa,False,6700000,985,39000000,729,98200,585800,1506,5600000,2021
Valclips,7139304056888378369,New Yuro Ultimate Trick by TTW nosyy #valorantclips #valorant #fyp #valorantclipsdaily ,7190834947433794821,1674246734,36,{'duetFromId': '0'},"['valorantclips', 'valorant', 'fyp', 'valorantclipsdaily']",Valclips,son original,False,11500,164,1400000,144,56500,584600,24000,4000000,3276
lee || shower stomper,6981230010435585026,why enoki do me like that 🥲 #fyp #japan #twitchclips #foryoupage #valorantfunny #valorant #valorantclips,7059676287639637249,1643708975,25,{'duetFromId': '0'},"['fyp', 'japan', 'twitchclips', 'foryoupage', 'valorantfunny', 'valorant', 'valorantclips']",lee || shower stomper,original sound,False,2000000,444,65300000,279,24700,584600,2437,4400000,2143
Luana Isabella,128302693877661696,Quem aí já passou por isso? KKKKKK #mutado #valorant #gamergirl #cs #cod #r6 #freefire #fortnite #lol #fyp #fy,6949680804511468805,1618098659,15,{'duetFromId': '0'},"['mutado', 'valorant', 'gamergirl', 'cs', 'cod', 'r6', 'freefire', 'fortnite', 'lol', 'fyp', 'fy']",Luana Isabella,som original,False,587600,9607,12200000,678,13200,584000,2169,2600000,2574
Andruwu,6821459715991307269,"""it's chewsday innit"" @ejscouter #andruwu #yorunix #voicetrolling #valorant #valorantclips",7064218864560704774,1644766626,20,{'duetFromId': '0'},"['', 'andruwu', 'yorunix', 'voicetrolling', 'valorant', 'valorantclips']",Andruwu,original sound,False,304400,5318,12500000,336,25800,583700,3967,4000000,1216
veysura,7075866021194171394,Singing to Strangers in Valorant pt. 10 (Song: Hidden in the Sand by Tally Hall) #valorant #singing #valorantclips #syts #singinginpublic #valo#vcsinging #uke,7255354911045602561,1689269144,71,{'duetFromId': '0'},"['valorant', 'singing', 'valorantclips', 'syts', 'singinginpublic', 'valo', 'vcsinging', 'uke']",veysura,original sound - veysura,False,198200,21600,1900000,38,124900,583600,3858,3600000,3608
FNATIC,6709090992655909893,Pre-game KPOP rituals>>> #valorant #valorantfunny #kpop #valorantvct ,7265078329403788576,1691532868,14,{'duetFromId': '0'},"['valorant', 'valorantfunny', 'kpop', 'valorantvct']",FNATIC,original sound,True,628200,1116,23600000,461,39100,582600,23400,3700000,1733
misahere,6983459549798892549,I was forced to do this #valorant #valorantclips #valorantfunny ,7203803397688937774,1677266190,35,{'duetFromId': '0'},"['valorant', 'valorantclips', 'valorantfunny']",misahere,original sound,False,97600,443,4000000,340,86800,582300,1425,4000000,1884
jiyu,7096680648916239366,I always catch my OPS/AWPS Lacking #valorant #valorantclips #valorantfunny #funnymoments #fyp #foryou ,7188164837879368965,1673625050,12,{'duetFromId': '0'},"['valorant', 'valorantclips', 'valorantfunny', 'funnymoments', 'fyp', 'foryou']",The King Khan & BBQ Show,Love You So,False,530500,820,31700000,500,46700,581200,5877,4800000,1578
Kyedae,6912265858970665989,Goblin #gaming #valorant #twitch #youtube #kyedae,7044003701115096326,1640059918,21,{'duetFromId': '0'},"['gaming', 'valorant', 'twitch', 'youtube', 'kyedae']",Kyedae,original sound,True,2200000,61100,85100000,516,18800,581200,4014,3600000,1239
OMEN IRL,7076723529311618050,👺BABYLON TOWER IN VALORANT👺 #FYP #foryoupage #valorant #valorantclips #valorantfunny,7197428854275706113,1675782276,17,{'duetFromId': '0'},"['fyp', 'foryoupage', 'valorant', 'valorantclips', 'valorantfunny']",OMEN IRL,original sound - OMENIRL,False,720200,483,30600000,410,98900,580700,3291,2900000,2989
Evetox,7077630861836207110,hardstuck life #valorant #valorantgaming #valorantclips #valorantfunny #valorantmemes ,7196659335206948102,1675602832,10,{'duetFromId': '0'},"['valorant', 'valorantgaming', 'valorantclips', 'valorantfunny', 'valorantmemes']",The King Khan & BBQ Show,Love You So,False,92100,348,10200000,607,36000,580600,7136,4700000,2315
DramaticYT,6763855396768728070,Is chamber good?! 😳😂 #valorant #valorantfunny #valorantmemes #voicetrolling #chamber,7123304700530773290,1658523622,26,{'duetFromId': '0'},"['valorant', 'valorantfunny', 'valorantmemes', 'voicetrolling', 'chamber']",DramaticYT,original sound,False,1000000,3775,39100000,2900,47400,580100,3604,4000000,1219
